0,0,(1:2),0
1,0,(0:4),0
2,0,(5:5),2
3,0,(4:2),0
4,0,(6:2),1
5,0,(9:6),1
6,0,(1:6),0
7,0,(5:7),2
8,0,(8:4),2
9,0,(0:7),1
10,0,(3:2),0
11,0,(3:3),2
12,0,(7:4),0
13,0,(1:0),0
14,0,(2:2),2
15,0,(8:7),0
16,0,(3:0),1
17,0,(7:2),0
18,0,(9:4),2
19,0,(6:2),2
20,1,(14:4),2
21,1,(14:1),0
22,1,(15:2),2
23,1,(12:1),0
24,1,(13:0),0
25,1,(17:7),0
26,1,(17:4),0
27,1,(10:4),1
28,1,(15:3),0
29,1,(12:6),2
30,1,(17:3),1
31,1,(19:5),0
32,1,(12:2),1
33,1,(13:6),2
34,1,(11:2),0
35,1,(18:7),1
36,1,(19:5),1
37,1,(15:7),2
38,1,(14:0),0
39,1,(19:1),2
40,2,(13:11),2
41,2,(13:15),0
42,2,(14:12),1
43,2,(17:15),2
44,2,(16:15),0
45,2,(13:17),1
46,2,(17:14),2
47,2,(18:18),2
48,2,(13:19),2
49,2,(16:15),0
50,2,(18:18),0
51,2,(13:16),0
52,2,(19:15),2
53,2,(15:10),2
54,2,(17:12),0
55,2,(16:19),0
56,2,(18:16),0
57,2,(17:14),1
58,2,(14:18),2
59,2,(14:15),0
60,3,(10:17),0
61,3,(6:18),2
62,3,(9:15),2
63,3,(7:11),2
64,3,(9:17),0
65,3,(7:13),0
66,3,(9:10),1
67,3,(12:8),0
68,3,(12:18),2
69,3,(8:14),0
70,3,(10:11),1
71,3,(9:11),1
72,3,(8:11),0
73,3,(11:10),1
74,3,(7:13),1
75,3,(8:13),2
76,3,(8:9),0
77,3,(11:18),2
78,3,(9:16),0
79,3,(10:9),0
80,4,(3:16),2
81,4,(3:18),0
82,4,(5:10),2
83,4,(3:9),0
84,4,(3:12),2
85,4,(2:8),0
86,4,(3:17),0
87,4,(0:18),0
88,4,(2:10),0
89,4,(3:18),1
90,4,(0:10),0
91,4,(3:17),2
92,4,(3:10),2
93,4,(0:13),2
94,4,(5:11),2
95,4,(4:9),0
96,4,(4:10),0
97,4,(1:17),0
98,4,(2:8),0
99,4,(2:12),2
