0,0,(7:10),1
1,0,(31:17),1
2,0,(24:16),1
3,0,(23:25),1
4,0,(31:16),1
5,0,(29:17),1
6,0,(17:16),1
7,0,(25:3),1
8,0,(5:3),1
9,0,(24:19),1
10,0,(31:0),1
11,0,(10:5),1
12,0,(3:1),1
13,0,(30:23),1
14,0,(22:21),1
15,0,(4:19),1
16,0,(17:26),1
17,0,(8:14),1
18,0,(11:17),1
19,0,(21:11),1
20,1,(43:25),1
21,1,(50:22),1
22,1,(72:0),1
23,1,(47:0),1
24,1,(65:12),1
25,1,(69:1),1
26,1,(54:3),1
27,1,(61:0),1
28,1,(62:4),1
29,1,(49:11),1
30,1,(58:10),1
31,1,(47:5),1
32,1,(48:15),1
33,1,(63:14),1
34,1,(48:25),1
35,1,(50:24),1
36,1,(41:3),1
37,1,(74:2),1
38,1,(73:7),1
39,1,(73:21),1
40,2,(67:52),1
41,2,(53:39),1
42,2,(66:54),1
43,2,(64:52),1
44,2,(71:58),1
45,2,(69:48),1
46,2,(70:36),1
47,2,(74:71),1
48,2,(60:37),1
49,2,(58:68),1
50,2,(66:53),1
51,2,(63:38),1
52,2,(56:69),1
53,2,(63:34),1
54,2,(66:42),1
55,2,(66:43),1
56,2,(69:63),1
57,2,(71:71),1
58,2,(63:67),1
59,2,(63:48),1
60,3,(40:50),1
61,3,(41:44),1
62,3,(34:51),1
63,3,(44:70),1
64,3,(44:51),1
65,3,(42:36),1
66,3,(44:57),1
67,3,(34:56),1
68,3,(29:72),1
69,3,(29:43),1
70,3,(39:57),1
71,3,(34:69),1
72,3,(37:57),1
73,3,(31:54),1
74,3,(33:71),1
75,3,(44:43),1
76,3,(31:59),1
77,3,(44:53),1
78,3,(28:54),1
79,3,(31:46),1
80,4,(15:61),1
81,4,(6:45),1
82,4,(12:66),1
83,4,(3:47),1
84,4,(0:72),1
85,4,(0:37),1
86,4,(18:56),1
87,4,(18:51),1
88,4,(2:54),1
89,4,(9:65),1
90,4,(21:49),1
91,4,(15:39),1
92,4,(10:54),1
93,4,(9:61),1
94,4,(6:51),1
95,4,(9:58),1
96,4,(11:47),1
97,4,(8:53),1
98,4,(0:63),1
99,4,(17:56),1
